bidder_id,payment_account,address,outcome
4a791121f1d9c9c192d13051301984388c491,a3d2de7675556553a5f08e4c88d2c228754av,a3d2de7675556553a5f08e4c88d2c228vt0u4,0.0
6feeeab451fcc546e1c43867e04bd5d2294fc,a3d2de7675556553a5f08e4c88d2c228v1sga,ae87054e5a97a8f840a3991d12611fdcrfbq3,0.0
0bdfae6168380fa2e00853fd3d6199ba8ed7d,a3d2de7675556553a5f08e4c88d2c2280cybl,92520288b50f03907041887884ba49c0cl0pd,0.0
3b4586382b3ff164e8bad37b15a268a540996,51d80e233f7b6a7dfdee484a3c120f3b2ita8,4cb9717c8ad7e88a9a284989dd79b98dbevyi,0.0
10c7f4bdc67a50bab856b9ca76a83ce980f96,a3d2de7675556553a5f08e4c88d2c22857ddh,2a96c3ce94b3be921e0296097b88b56a7x1ji,0.0
c3904e52ba5c4ce978a9f451a1665c8bd51d4,a3d2de7675556553a5f08e4c88d2c228yory1,5a1d8f28bc31aa6d72bef2d8fbf48b967hra3,0.0
2e421b3e55923090bc2809d35c6046beb356d,81580585d4dedd473da11aabf37fe9d4e2s2n,9a6d81115b9b653ba326eb510e9163b47drqj,0.0
c96eaf2aee105bceb4c5c239f3d9e91fa1846,a3d2de7675556553a5f08e4c88d2c2289zref,3a7e6a32b24aeab0688e91a41f3188e22iuec,0.0
c3e0e8c134ad9dbc5dd4d59acf10fd1139e60,bf1c3151cc309308077ad0ccb99779ad12apw,31b95425d178b89fd7306762bb48bfb5n04sj,0.0
164f6ffdff7755d51aec64048f3b8fe15bac3,f49162ea9903fc00e4721d2f7972df9d6az4s,5b1f6e97a1cc27cd7fa9a3fe17eccd2a6mpdv,0.0
a8ed7f82eb4239af1f57909a419756f68f4ae,a3d2de7675556553a5f08e4c88d2c2280i539,e9ac7750d73a796460f96b096b29725f1qqpz,0.0
2743551b896a93ec0c01831386f24465ac339,3a0add7fb226e9f304c27e80d6d09bfbuarcp,8de27ed2fba662e2e1427856058fae573rszo,0.0
d2ae49e532ec1204246adb1ca18e21cbd5374,27874e255fc9c6e7375ad9c949971e8fbpg7i,f3b1e4c7e5f5337ab0ff0d66aee326865qal2,0.0
700dc23b43176bcb563326887a93553010e4f,879c7091fb98052b8ea2f0cd41fe50a3ht0be,7f9e09d47507cf6432086dd4f53814fem7jm5,0.0
c29934ed53c0a6035e03b07c768537415f12a,a3d2de7675556553a5f08e4c88d2c228wx3vf,00de21ff3627811075faf2a3a0880053yi40s,0.0
0b69d4d460dd9d9244613f39f77e7de807a10,a3d2de7675556553a5f08e4c88d2c228ocx73,937e24e5329b1758d1180c3b83041b1b78i8n,0.0
b816e6d61075eb18dff4097eb99081ea4c534,a3d2de7675556553a5f08e4c88d2c228bvufu,a3d2de7675556553a5f08e4c88d2c22881vc1,0.0
3206bd10229df6bce5343776ba31ac1dbf0fd,a3d2de7675556553a5f08e4c88d2c2286gew9,e350bda3ceb6067cad400ae931c3527aetdd8,0.0
99913cf5b7c479f18b99071d6233e5ccd879a,442b15af88aca8fee2753db9c53cf904nmnvu,4ac07901bc0cbd21be97e7099da33be3hj9e5,0.0
548204fc0235b7dbb22a46f7c0d6eb3f27c9d,84b5b2552033a90fa8b97a4f59e6cd2bgj8il,c038f8dc97e38c870ba2b6d50fce3d5fb25ou,0.0
e75b68e65da5623accd2a052f27df10685809,b493766aa07b5093bd0b0f029459fce2bb0ia,5e2f0a6e77f8fa7cac429738e58978a01gdoj,0.0
d61de6f2d954244c13e67bca63c1056a4dc6f,1862ef3b7965993cc975a1161010e810w2bwo,58e5dc4d38d886f6c7abf0c264a51cb7alhj2,1.0
83ea3e0d83acd429136a32246dc92e1329418,a0dc95936282ff8eef7ffa54f295255ctyafs,fa442b098896fe3f9aca16a6f100e597e5rky,0.0
bfa4976442e519caa255d42c4ba229deb9869,741f0cc2cc8fe65d86e65ce3c1ad9757hprgo,ad6673379b129d23eb72f94463cb9700w3hpt,0.0
cfb4bd8bf18efeaebb9b56314891329bf508b,a3d2de7675556553a5f08e4c88d2c228yyj66,fa7c5a29b73357781dfe14dc4d979d36u26ga,0.0
9e491382dbab78b17457d999a7a3f4c7dc655,8782587a1caaf821011d23f2058c289fafxx5,ea349e9643eac4a7bfd988257e7bea339bzcz,0.0
a4404668161587de696dd0d67ba818e4f6855,a3d2de7675556553a5f08e4c88d2c22848lqa,022b06519985716abd9fc8ce83540d58wsgo1,0.0
3f2da6c38d5207761fc5f1f2badd0f5136751,f6933372b401e65b5448165c627298e514szs,c1cd73ea36352c6fb49cd5f6102253eb6bc5u,0.0
a0e428c701f9644d87a56146b94c2b0fab727,a3d2de7675556553a5f08e4c88d2c228xxxoc,fb5f20b04f48113f484f73988d44a09a00106,0.0
2829170bb5c58c158281319affabb4e6a5ffd,988c8087646bb5398c2a7f2dae56c9011id6l,0f11e5e7f848d802639be461f6f291edmzf30,0.0
